Start (s),End (s),Scientific name,Common name,Confidence,origial
0.0,3.0,Branta canadensis,Canada Goose,0.9028538,datasets\CanadaGoose\722721.mp3
3.0,6.0,Branta canadensis,Canada Goose,0.9315642,datasets\CanadaGoose\722721.mp3
6.0,9.0,Branta canadensis,Canada Goose,0.9334498,datasets\CanadaGoose\722721.mp3
9.0,12.0,Branta canadensis,Canada Goose,0.92597574,datasets\CanadaGoose\722721.mp3
12.0,15.0,Branta canadensis,Canada Goose,0.7630488,datasets\CanadaGoose\722721.mp3
15.0,18.0,Branta canadensis,Canada Goose,0.92569244,datasets\CanadaGoose\722721.mp3
18.0,21.0,Branta canadensis,Canada Goose,0.9823339,datasets\CanadaGoose\722721.mp3
21.0,24.0,Branta canadensis,Canada Goose,0.8674716,datasets\CanadaGoose\722721.mp3
24.0,27.0,Branta canadensis,Canada Goose,0.9625971,datasets\CanadaGoose\722721.mp3
27.0,30.0,Branta canadensis,Canada Goose,0.86246747,datasets\CanadaGoose\722721.mp3
30.0,33.0,Branta canadensis,Canada Goose,0.87241155,datasets\CanadaGoose\722721.mp3
33.0,36.0,Branta canadensis,Canada Goose,0.87577707,datasets\CanadaGoose\722721.mp3
36.0,39.0,Branta canadensis,Canada Goose,0.8012783,datasets\CanadaGoose\722721.mp3
0.0,3.0,Branta canadensis,Canada Goose,0.66721094,datasets\CanadaGoose\378738.mp3
0.0,3.0,Botaurus stellaris,Great Bittern,0.10512261,datasets\CanadaGoose\378738.mp3
3.0,6.0,Branta canadensis,Canada Goose,0.8106068,datasets\CanadaGoose\378738.mp3
3.0,6.0,Corvus corax,Common Raven,0.22741786,datasets\CanadaGoose\378738.mp3
6.0,9.0,Branta canadensis,Canada Goose,0.98356307,datasets\CanadaGoose\378738.mp3
9.0,12.0,Branta canadensis,Canada Goose,0.9354433,datasets\CanadaGoose\378738.mp3
9.0,12.0,Corvus corax,Common Raven,0.5060885,datasets\CanadaGoose\378738.mp3
12.0,15.0,Branta canadensis,Canada Goose,0.92107147,datasets\CanadaGoose\378738.mp3
12.0,15.0,Corvus corax,Common Raven,0.2466348,datasets\CanadaGoose\378738.mp3
15.0,18.0,Branta canadensis,Canada Goose,0.6777875,datasets\CanadaGoose\378738.mp3
15.0,18.0,Corvus corax,Common Raven,0.14696075,datasets\CanadaGoose\378738.mp3
18.0,21.0,Branta canadensis,Canada Goose,0.8144229,datasets\CanadaGoose\378738.mp3
18.0,21.0,Corvus corax,Common Raven,0.72477245,datasets\CanadaGoose\378738.mp3
21.0,24.0,Branta canadensis,Canada Goose,0.5184025,datasets\CanadaGoose\378738.mp3
21.0,24.0,Corvus corax,Common Raven,0.17336184,datasets\CanadaGoose\378738.mp3
24.0,27.0,Branta canadensis,Canada Goose,0.96749187,datasets\CanadaGoose\378738.mp3
27.0,30.0,Branta canadensis,Canada Goose,0.6990524,datasets\CanadaGoose\378738.mp3
